Country Code,Country Name,Gender,Date,Unemployement Rate
AUS,Australia,ALL,01/01/00,6.77
AUS,Australia,ALL,02/01/00,6.62
AUS,Australia,ALL,03/01/00,6.57
AUS,Australia,ALL,04/01/00,6.38
AUS,Australia,ALL,05/01/00,6.42
AUS,Australia,ALL,06/01/00,6.12
AUS,Australia,ALL,07/01/00,5.95
AUS,Australia,ALL,08/01/00,6.05
AUS,Australia,ALL,09/01/00,5.96
AUS,Australia,ALL,10/01/00,6.01
AUS,Australia,ALL,11/01/00,6.26
AUS,Australia,ALL,12/01/00,6.24
AUS,Australia,ALL,01/01/01,6.14
AUS,Australia,ALL,02/01/01,6.5
AUS,Australia,ALL,03/01/01,6.46
AUS,Australia,ALL,04/01/01,6.78
AUS,Australia,ALL,05/01/01,6.89
AUS,Australia,ALL,06/01/01,6.93
AUS,Australia,ALL,07/01/01,6.88
AUS,Australia,ALL,08/01/01,6.88
AUS,Australia,ALL,09/01/01,6.84
AUS,Australia,ALL,10/01/01,7.19
AUS,Australia,ALL,11/01/01,6.88
AUS,Australia,ALL,12/01/01,6.86
AUS,Australia,ALL,01/01/02,6.91
AUS,Australia,ALL,02/01/02,6.54
AUS,Australia,ALL,03/01/02,6.43
AUS,Australia,ALL,04/01/02,6.35
AUS,Australia,ALL,05/01/02,6.37
AUS,Australia,ALL,06/01/02,6.5
AUS,Australia,ALL,07/01/02,6.18
AUS,Australia,ALL,08/01/02,6.35
AUS,Australia,ALL,09/01/02,6.31
AUS,Australia,ALL,10/01/02,6.13
AUS,Australia,ALL,11/01/02,6.16
AUS,Australia,ALL,12/01/02,6.18
AUS,Australia,ALL,01/01/03,6.08
AUS,Australia,ALL,02/01/03,5.96
AUS,Australia,ALL,03/01/03,6.13
AUS,Australia,ALL,04/01/03,6.03
AUS,Australia,ALL,05/01/03,6.07
AUS,Australia,ALL,06/01/03,6.06
AUS,Australia,ALL,07/01/03,6.13
AUS,Australia,ALL,08/01/03,5.82
AUS,Australia,ALL,09/01/03,5.78
AUS,Australia,ALL,10/01/03,5.78
AUS,Australia,ALL,11/01/03,5.66
AUS,Australia,ALL,12/01/03,5.68
AUS,Australia,ALL,01/01/04,5.53
AUS,Australia,ALL,02/01/04,5.64
AUS,Australia,ALL,03/01/04,5.44
AUS,Australia,ALL,04/01/04,5.51
AUS,Australia,ALL,05/01/04,5.34
AUS,Australia,ALL,06/01/04,5.46
AUS,Australia,ALL,07/01/04,5.55
AUS,Australia,ALL,08/01/04,5.52
AUS,Australia,ALL,09/01/04,5.37
AUS,Australia,ALL,10/01/04,5.12
AUS,Australia,ALL,11/01/04,5.16
AUS,Australia,ALL,12/01/04,5.07
AUS,Australia,ALL,01/01/05,5.07
AUS,Australia,ALL,02/01/05,5.09
AUS,Australia,ALL,03/01/05,5.16
AUS,Australia,ALL,04/01/05,5.12
AUS,Australia,ALL,05/01/05,5.1
AUS,Australia,ALL,06/01/05,4.95
AUS,Australia,ALL,07/01/05,4.97
AUS,Australia,ALL,08/01/05,4.9
AUS,Australia,ALL,09/01/05,5
AUS,Australia,ALL,10/01/05,5.02
AUS,Australia,ALL,11/01/05,4.94
AUS,Australia,ALL,12/01/05,5.07
AUS,Australia,ALL,01/01/06,5.16
AUS,Australia,ALL,02/01/06,5.11
AUS,Australia,ALL,03/01/06,4.87
AUS,Australia,ALL,04/01/06,4.97
AUS,Australia,ALL,05/01/06,4.8
AUS,Australia,ALL,06/01/06,4.81
AUS,Australia,ALL,07/01/06,4.66
AUS,Australia,ALL,08/01/06,4.71
AUS,Australia,ALL,09/01/06,4.67
AUS,Australia,ALL,10/01/06,4.46
AUS,Australia,ALL,11/01/06,4.52
AUS,Australia,ALL,12/01/06,4.57
AUS,Australia,ALL,01/01/07,4.56
AUS,Australia,ALL,02/01/07,4.64
AUS,Australia,ALL,03/01/07,4.46
AUS,Australia,ALL,04/01/07,4.39
AUS,Australia,ALL,05/01/07,4.26
AUS,Australia,ALL,06/01/07,4.32
AUS,Australia,ALL,07/01/07,4.25
AUS,Australia,ALL,08/01/07,4.3
AUS,Australia,ALL,09/01/07,4.21
AUS,Australia,ALL,10/01/07,4.33
AUS,Australia,ALL,11/01/07,4.43
AUS,Australia,ALL,12/01/07,4.31
AUS,Australia,ALL,01/01/08,4.22
AUS,Australia,ALL,02/01/08,3.98
AUS,Australia,ALL,03/01/08,4.06
AUS,Australia,ALL,04/01/08,4.27
AUS,Australia,ALL,05/01/08,4.27
AUS,Australia,ALL,06/01/08,4.24
AUS,Australia,ALL,07/01/08,4.25
AUS,Australia,ALL,08/01/08,4.02
AUS,Australia,ALL,09/01/08,4.29
AUS,Australia,ALL,10/01/08,4.29
AUS,Australia,ALL,11/01/08,4.46
AUS,Australia,ALL,12/01/08,4.57
AUS,Australia,ALL,01/01/09,4.91
AUS,Australia,ALL,02/01/09,5.31
AUS,Australia,ALL,03/01/09,5.71
AUS,Australia,ALL,04/01/09,5.51
AUS,Australia,ALL,05/01/09,5.81
AUS,Australia,ALL,06/01/09,5.86
AUS,Australia,ALL,07/01/09,5.67
AUS,Australia,ALL,08/01/09,5.72
AUS,Australia,ALL,09/01/09,5.66
AUS,Australia,ALL,10/01/09,5.62
AUS,Australia,ALL,11/01/09,5.56
AUS,Australia,ALL,12/01/09,5.49
AUS,Australia,ALL,01/01/10,5.27
AUS,Australia,ALL,02/01/10,5.3
AUS,Australia,ALL,03/01/10,5.42
AUS,Australia,ALL,04/01/10,5.5
AUS,Australia,ALL,05/01/10,5.23
AUS,Australia,ALL,06/01/10,5.14
AUS,Australia,ALL,07/01/10,5.29
AUS,Australia,ALL,08/01/10,5.03
AUS,Australia,ALL,09/01/10,5.05
AUS,Australia,ALL,10/01/10,5.29
AUS,Australia,ALL,11/01/10,5.11
AUS,Australia,ALL,12/01/10,4.88
AUS,Australia,ALL,01/01/11,5
AUS,Australia,ALL,02/01/11,4.98
AUS,Australia,ALL,03/01/11,4.93
AUS,Australia,ALL,04/01/11,4.96
AUS,Australia,ALL,05/01/11,5.01
AUS,Australia,ALL,06/01/11,4.92
AUS,Australia,ALL,07/01/11,5.09
AUS,Australia,ALL,08/01/11,5.27
AUS,Australia,ALL,09/01/11,5.22
AUS,Australia,ALL,10/01/11,5.19
AUS,Australia,ALL,11/01/11,5.23
AUS,Australia,ALL,12/01/11,5.2
AUS,Australia,ALL,01/01/12,5.05
AUS,Australia,ALL,02/01/12,5.2
AUS,Australia,ALL,03/01/12,5.19
AUS,Australia,ALL,04/01/12,5
AUS,Australia,ALL,05/01/12,5.2
AUS,Australia,ALL,06/01/12,5.16
AUS,Australia,ALL,07/01/12,5.18
AUS,Australia,ALL,08/01/12,5.15
AUS,Australia,ALL,09/01/12,5.48
AUS,Australia,ALL,10/01/12,5.41
AUS,Australia,ALL,11/01/12,5.26
AUS,Australia,ALL,12/01/12,5.44
AUS,Australia,ALL,01/01/13,5.39
AUS,Australia,ALL,02/01/13,5.41
AUS,Australia,ALL,03/01/13,5.64
AUS,Australia,ALL,04/01/13,5.59
AUS,Australia,ALL,05/01/13,5.61
AUS,Australia,ALL,06/01/13,5.69
AUS,Australia,ALL,07/01/13,5.63
AUS,Australia,ALL,08/01/13,5.84
AUS,Australia,ALL,09/01/13,5.7
AUS,Australia,ALL,10/01/13,5.83
AUS,Australia,ALL,11/01/13,5.8
AUS,Australia,ALL,12/01/13,5.9
AUS,Australia,ALL,01/01/14,5.94
AUS,Australia,ALL,02/01/14,5.9
AUS,Australia,ALL,03/01/14,5.88
AUS,Australia,ALL,04/01/14,5.81
AUS,Australia,ALL,05/01/14,5.93
AUS,Australia,ALL,06/01/14,6.04
AUS,Australia,ALL,07/01/14,6.16
AUS,Australia,ALL,08/01/14,6.09
AUS,Australia,ALL,09/01/14,6.22
AUS,Australia,ALL,10/01/14,6.36
AUS,Australia,ALL,11/01/14,6.3
AUS,Australia,ALL,12/01/14,6.11
AUS,Australia,ALL,01/01/15,6.35
AUS,Australia,ALL,02/01/15,6.17
AUS,Australia,ALL,03/01/15,6.11
AUS,Australia,ALL,04/01/15,6.12
AUS,Australia,ALL,05/01/15,5.93
AUS,Australia,ALL,06/01/15,5.99
AUS,Australia,ALL,07/01/15,6.26
AUS,Australia,ALL,08/01/15,6.07
AUS,Australia,ALL,09/01/15,6.15
AUS,Australia,ALL,10/01/15,5.91
AUS,Australia,ALL,11/01/15,5.85
AUS,Australia,ALL,12/01/15,5.75
AUS,Australia,ALL,01/01/16,6.04
AUS,Australia,ALL,02/01/16,5.72
AUS,Australia,ALL,03/01/16,5.67
AUS,Australia,ALL,04/01/16,5.66
AUS,Australia,ALL,05/01/16,5.72
AUS,Australia,ALL,06/01/16,5.67
AUS,Australia,ALL,07/01/16,5.67
AUS,Australia,ALL,08/01/16,5.59
AUS,Australia,ALL,09/01/16,5.62
AUS,Australia,ALL,10/01/16,5.57
AUS,Australia,ALL,11/01/16,5.76
AUS,Australia,ALL,12/01/16,5.83
AUS,Australia,ALL,01/01/17,5.71
AUS,Australia,ALL,02/01/17,5.89
AUS,Australia,ALL,03/01/17,5.89
AUS,Australia,ALL,04/01/17,5.64
AUS,Australia,ALL,05/01/17,5.54
AUS,Australia,ALL,06/01/17,5.56
AUS,Australia,ALL,07/01/17,5.57
AUS,Australia,ALL,08/01/17,5.49
AUS,Australia,ALL,09/01/17,5.42
AUS,Australia,ALL,10/01/17,5.35
AUS,Australia,ALL,11/01/17,5.42
AUS,Australia,ALL,12/01/17,5.61
AUS,Australia,ALL,01/01/18,5.54
AUS,Australia,ALL,02/01/18,5.61
AUS,Australia,ALL,03/01/18,5.56
AUS,Australia,ALL,04/01/18,5.56
AUS,Australia,ALL,05/01/18,5.39
AUS,Australia,ALL,06/01/18,5.28
AUS,Australia,ALL,07/01/18,5.26
AUS,Australia,ALL,08/01/18,5.24
AUS,Australia,ALL,09/01/18,4.99
